Rank,Player,Team,League,Position,Games Played,At Bats,Runs,Hits,Doubles,Triples,Homeruns,RBI,Walks,Strikeouts,Stolen Bases,Batting Avg,On Base Pct,Slugging Pct
27,Goldschmidt,ARI,National,1B,155,558,117,166,34,3,36,120,94,147,18,0.297,0.404,0.563
33,Peralta,ARI,National,RF,140,525,82,154,31,3,14,57,43,94,8,0.293,0.352,0.444
15,Freeman,ATL,National,1B,117,440,84,135,35,2,28,71,65,95,8,0.307,0.403,0.586
20,Inciarte,ATL,National,CF,157,662,93,201,27,5,11,57,49,94,22,0.304,0.35,0.409
34,Mancini,BAL,American,LF,147,543,65,159,26,4,24,78,33,139,1,0.293,0.338,0.488
35,Schoop,BAL,American,2B,160,622,92,182,35,0,32,105,35,142,1,0.293,0.338,0.503
44,Jones,BAL,American,CF,147,597,82,170,28,1,26,73,27,113,2,0.285,0.322,0.466
30,Bryant,CHC,National,3B,151,549,111,162,38,4,29,73,95,128,7,0.295,0.409,0.537
3,Garcia,CHW,American,RF,136,518,75,171,27,5,18,80,33,111,5,0.33,0.38,0.506
19,Abreu,CHW,American,1B,156,621,95,189,43,6,33,102,35,119,3,0.304,0.354,0.552
6,Votto,CIN,National,1B,162,559,106,179,34,1,36,100,134,83,5,0.32,0.454,0.578
29,Cozart,CIN,National,SS,122,438,80,130,24,7,24,63,62,78,3,0.297,0.385,0.548
9,Ramirez,CLE,American,3B,152,585,107,186,56,6,29,83,52,69,17,0.318,0.374,0.583
2,Blackmon,COL,National,CF,159,644,137,213,35,14,37,104,65,135,14,0.331,0.399,0.601
12,LeMahieu,COL,National,2B,155,609,95,189,28,4,8,64,59,90,6,0.31,0.374,0.409
13,Arenado,COL,National,3B,159,606,100,187,43,7,37,130,62,106,3,0.309,0.373,0.586
1,Altuve,HOU,American,2B,153,590,112,204,39,4,24,81,58,84,32,0.346,0.41,0.547
10,Reddick,HOU,American,RF,134,477,77,150,34,4,13,82,43,72,7,0.314,0.363,0.484
22,Gonzalez,HOU,American,LF,134,455,67,138,34,0,23,90,49,99,8,0.303,0.377,0.53
26,Gurriel,HOU,American,1B,139,529,69,158,43,1,18,75,22,62,3,0.299,0.332,0.486
45,Bregman,HOU,American,3B,155,556,88,158,39,5,19,71,55,97,17,0.284,0.352,0.475
47,Springer,HOU,American,CF,140,548,112,155,29,0,34,85,64,111,5,0.283,0.367,0.522
8,Hosmer,KC,American,1B,162,603,98,192,31,1,25,94,66,104,6,0.318,0.385,0.498
24,Cain,KC,American,CF,155,584,86,175,27,5,15,49,54,100,26,0.3,0.363,0.44
38,Merrifield,KC,American,2B,145,587,80,169,32,6,19,78,29,88,34,0.288,0.324,0.46
42,Cabrera,KC,American,RF,156,620,78,177,30,2,17,85,36,74,1,0.285,0.324,0.423
17,Trout,LAA,American,CF,114,402,92,123,25,3,33,72,94,90,22,0.306,0.442,0.629
43,Phillips,LAA,American,2B,144,572,81,163,34,1,13,60,21,73,11,0.285,0.319,0.416
5,Turner,LAD,National,3B,130,457,72,147,32,0,21,71,59,56,7,0.322,0.415,0.53
31,Seager,LAD,National,SS,145,539,85,159,33,0,22,77,67,131,4,0.295,0.375,0.479
37,Taylor,LAD,National,LF,140,514,85,148,34,5,21,72,50,142,17,0.288,0.354,0.496
11,Ozuna,MIA,National,LF,159,613,93,191,30,2,37,124,64,144,1,0.312,0.376,0.548
14,Gordon,MIA,National,2B,158,653,114,201,20,9,2,33,25,93,60,0.308,0.341,0.375
48,Yelich,MIA,National,CF,156,602,100,170,36,2,18,81,80,137,16,0.282,0.369,0.439
50,Stanton,MIA,National,RF,159,597,123,168,32,0,59,132,85,163,2,0.281,0.376,0.631
18,Mauer,MIN,American,1B,141,525,69,160,36,1,7,71,66,83,2,0.305,0.384,0.417
36,Rosario,MIN,American,LF,151,542,79,157,33,2,27,78,35,106,9,0.29,0.328,0.507
41,Gregorius,NYY,American,SS,136,534,73,153,27,0,25,87,25,70,3,0.287,0.318,0.478
46,Judge,NYY,American,RF,155,542,128,154,24,3,52,114,127,208,9,0.284,0.422,0.627
32,Hernandez,PHI,National,2B,128,511,85,150,26,6,9,34,61,104,15,0.294,0.373,0.421
7,Posey,SF,National,C,140,494,62,158,34,0,12,67,61,66,6,0.32,0.4,0.462
40,Panik,SF,National,2B,138,511,60,147,28,5,10,53,46,54,4,0.288,0.347,0.421
25,Segura,SEA,American,SS,125,524,80,157,30,2,11,45,34,83,22,0.3,0.349,0.427
39,Cruz,SEA,American,DH,155,556,91,160,28,0,39,119,70,140,1,0.288,0.375,0.549
16,Pham,STL,National,LF,128,444,95,136,22,2,23,73,71,117,25,0.306,0.411,0.52
49,Dickerson,TB,American,LF,150,588,84,166,33,4,27,62,35,152,4,0.282,0.325,0.49
28,Andrus,TEX,American,SS,158,643,100,191,44,4,20,88,38,101,25,0.297,0.337,0.471
4,Murphy,WSH,National,2B,144,534,94,172,43,3,23,93,52,77,2,0.322,0.384,0.543
21,Zimmerman,WSH,National,1B,144,524,90,159,33,0,36,108,44,126,1,0.303,0.358,0.573
23,Rendon,WSH,National,3B,147,508,81,153,41,1,25,100,84,82,7,0.301,0.403,0.533
